Dealer,Year,Brand,Model,Price
Corwin Ford Reno,2022 , Ford , Mustang Mach-E Premium,Not Priced
Corwin Ford Reno,2022 , Ford , Mustang Mach-E GT,Not Priced
Corwin Ford Reno,2022 , Ford , Mustang Mach-E Premium,Not Priced
Corwin Ford Reno,2022 , Ford , Mustang Mach-E Premium,Not Priced
Corwin Ford Reno,2022 , Ford , Mustang Mach-E California Route ,Not Priced
Corwin Ford Reno,2022 , Ford , Mustang Mach-E Select,Not Priced
Corwin Ford Reno,2022 , Ford , Mustang Mach-E Premium,Not Priced
Folsom Lake Ford,2022 , Ford , Mustang Mach-E GT,"$83,200"
Folsom Lake Ford,2022 , Ford , Mustang Mach-E GT,"$82,405"
Folsom Lake Ford,2022 , Ford , Mustang Mach-E Premium,"$69,305"
Downtown Ford of Sacramento,2022 , Ford , Mustang Mach-E GT,"$76,955"
Woodland Ford,2022 , Ford , Mustang Mach-E Premium,Not Priced
Ford Lincoln Fairfield,2022 , Ford , Mustang Mach-E GT,"$77,401"
Ford Lincoln Fairfield,2022 , Ford , Mustang Mach-E Select,"$53,905"
Napa Ford,2022 , Ford , Mustang Mach-E GT,"$87,170"
Napa Ford,2022 , Ford , Mustang Mach-E GT,"$87,170"
Napa Ford,2022 , Ford , Mustang Mach-E GT,"$78,335"
Napa Ford,2022 , Ford , Mustang Mach-E GT,"$87,495"
Napa Ford,2022 , Ford , Mustang Mach-E GT,"$78,095"
Future Ford of Concord,2022 , Ford , Mustang Mach-E GT,"$76,405"
Livermore Ford Lincoln,2022 , Ford , Mustang Mach-E GT,"$72,200"
Madera Ford,2022 , Ford , Mustang Mach-E Premium,"$56,910"
Fremont Ford,2022 , Ford , Mustang Mach-E Select,"$62,870"
Fremont Ford,2022 , Ford , Mustang Mach-E California Route ,"$71,250"
Lithia Ford of Fresno,2022 , Ford , Mustang Mach-E California Route ,Not Priced
Redwood Ford,2022 , Ford , Mustang Mach-E GT,"$67,890"
Capitol Ford,2022 , Ford , Mustang Mach-E Premium,"$66,815"
Capitol Ford,2022 , Ford , Mustang Mach-E California Route ,"$66,250"
Capitol Ford,2022 , Ford , Mustang Mach-E GT,"$80,410"
Capitol Ford,2022 , Ford , Mustang Mach-E GT,"$71,095"
Capitol Ford,2022 , Ford , Mustang Mach-E California Route ,"$67,285"
Capitol Ford,2022 , Ford , Mustang Mach-E California Route ,"$66,490"
Capitol Ford,2023 , Ford , Mustang Mach-E California Route ,"$74,875"
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$67,070"
Capitol Ford,2023 , Ford , Mustang Mach-E Select,"$58,895"
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$65,275"
Capitol Ford,2023 , Ford , Mustang Mach-E GT,"$85,435"
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$66,275"
Capitol Ford,2023 , Ford , Mustang Mach-E Select,"$56,195"
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$69,215"
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$74,875"
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$77,815"
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$78,310"
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$74,875"
Capitol Ford,2023 , Ford , Mustang Mach-E California Route ,"$75,370"
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$69,470"
Capitol Ford,2023 , Ford , Mustang Mach-E Select,"$56,690"
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$74,875"
Capitol Ford,2023 , Ford , Mustang Mach-E GT,"$79,990"
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$78,610"
Capitol Ford,2023 , Ford , Mustang Mach-E Select,"$56,195"
Capitol Ford,2023 , Ford , Mustang Mach-E Select,"$58,335"
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$77,815"
Capitol Ford,2023 , Ford , Mustang Mach-E Select,"$56,690"
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$74,875"
Capitol Ford,2023 , Ford , Mustang Mach-E GT,"$86,790"
Capitol Ford,2023 , Ford , Mustang Mach-E GT,"$85,435"
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$75,370"
Capitol Ford,2023 , Ford , Mustang Mach-E Select,"$56,195"
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$75,370"
Capitol Ford,2023 , Ford , Mustang Mach-E Select,"$59,690"
Capitol Ford,2023 , Ford , Mustang Mach-E Select,"$59,690"
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$78,375"
Capitol Ford,2023 , Ford , Mustang Mach-E Select,"$56,195"
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$69,770"
Capitol Ford,2023 , Ford , Mustang Mach-E Select,"$56,990"
Capitol Ford,2023 , Ford , Mustang Mach-E California Route ,"$75,115"
Capitol Ford,2023 , Ford , Mustang Mach-E Select,"$59,135"
Capitol Ford,2023 , Ford , Mustang Mach-E Select,"$56,195"
Capitol Ford,2023 , Ford , Mustang Mach-E GT,"$86,235"
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$66,275"
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$67,070"
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$76,470"
Capitol Ford,2023 , Ford , Mustang Mach-E GT,"$79,195"
Capitol Ford,2023 , Ford , Mustang Mach-E Select,"$56,690"
Capitol Ford,2023 , Ford , Mustang Mach-E Select,"$56,435"
Capitol Ford,2023 , Ford , Mustang Mach-E Select,"$59,135"
Capitol Ford,2023 , Ford , Mustang Mach-E Select,"$56,195"
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$75,760"
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$69,215"
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$74,875"
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$66,515"
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$79,170"
Capitol Ford,2023 , Ford , Mustang Mach-E Select,"$58,830"
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$66,275"
Capitol Ford,2023 , Ford , Mustang Mach-E Select,"$57,435"
Capitol Ford,2023 , Ford , Mustang Mach-E GT,"$85,435"
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$66,275"
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$67,100"
Capitol Ford,2023 , Ford , Mustang Mach-E California Route ,"$74,875"
Capitol Ford,2023 , Ford , Mustang Mach-E GT,"$85,195"
Capitol Ford,2023 , Ford , Mustang Mach-E GT,"$79,435"
Capitol Ford,2023 , Ford , Mustang Mach-E GT,"$85,195"
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$77,575"
Capitol Ford,2023 , Ford , Mustang Mach-E Premium,"$75,370"
Frontier Ford,2022 , Ford , Mustang Mach-E Select,"$62,530"
Frontier Ford,2022 , Ford , Mustang Mach-E Select,"$59,590"
Frontier Ford,2022 , Ford , Mustang Mach-E California Route ,"$68,880"
Frontier Ford,2022 , Ford , Mustang Mach-E Premium,"$73,735"
Frontier Ford,2022 , Ford , Mustang Mach-E Select,"$62,530"
Sunnyvale Ford,2022 , Ford , Mustang Mach-E California Route ,"$66,485"
Frontier Ford,2022 , Ford , Mustang Mach-E Select,"$66,595"
Sunnyvale Ford,2022 , Ford , Mustang Mach-E Premium,"$60,110"
Sunnyvale Ford,2022 , Ford , Mustang Mach-E GT,"$76,165"
Frontier Ford,2022 , Ford , Mustang Mach-E GT,"$81,800"
Sunnyvale Ford,2022 , Ford , Mustang Mach-E California Route ,"$66,245"
Frontier Ford,2022 , Ford , Mustang Mach-E Select,"$59,590"
Frontier Ford,2022 , Ford , Mustang Mach-E California Route ,"$70,845"
Frontier Ford,2022 , Ford , Mustang Mach-E Premium,"$73,495"
Frontier Ford,2022 , Ford , Mustang Mach-E Premium,"$70,795"
Frontier Ford,2022 , Ford , Mustang Mach-E California Route ,"$70,845"
Frontier Ford,2021 , Ford , Mustang Mach-E California Route ,Not Priced
Frontier Ford,2022 , Ford , Mustang Mach-E Select,Not Priced
Frontier Ford,2022 , Ford , Mustang Mach-E California Route ,Not Priced
Frontier Ford,2021 , Ford , Mustang Mach-E Premium,Not Priced
Serramonte Ford,2022 , Ford , Mustang Mach-E California Route ,"$69,530"
Serramonte Ford,2023 , Ford , Mustang Mach-E Premium,Not Priced
Serramonte Ford,2023 , Ford , Mustang Mach-E California Route ,Not Priced
Serramonte Ford,2023 , Ford , Mustang Mach-E Premium,Not Priced
Watsonville Ford,2023 , Ford , Mustang Mach-E Premium,Not Priced
Watsonville Ford,2022 , Ford , Mustang Mach-E California Route ,Not Priced
Watsonville Ford,2023 , Ford , Mustang Mach-E GT,Not Priced
Watsonville Ford,2023 , Ford , Mustang Mach-E Premium,Not Priced
North Bay Ford,2023 , Ford , Mustang Mach-E GT,Not Priced
North Bay Ford,2022 , Ford , Mustang Mach-E California Route ,Not Priced
Paso Robles Ford,2022 , Ford , Mustang Mach-E Premium,"$57,815"
Corwin Ford,2023 , Ford , Mustang Mach-E GT,"$77,195"
Corwin Ford,2023 , Ford , Mustang Mach-E Premium,"$68,615"
Corwin Ford,2023 , Ford , Mustang Mach-E Premium,"$59,710"
Gaudin Ford,2022 , Ford , Mustang Mach-E GT,Not Priced
Steves Hometown Motors,2023 , Ford , Mustang Mach-E Premium,"$68,610"
Price Ford of Simi Valley,2022 , Ford , Mustang Mach-E GT,"$87,405"
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Premium,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Premium,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Premium,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Select,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Select,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Select,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Premium,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Select,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Select,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Premium,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Select,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E California Route ,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Select,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E California Route ,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Select,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Select,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Select,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Premium,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Premium,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E California Route ,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Select,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Select,Not Priced
Bob Wondries Ford,2023 , Ford , Mustang Mach-E Select,Not Priced
Citrus Motors Kia,2022 , Ford , Mustang Mach-E GT,"$76,670"
Chino Hills Ford,2023 , Ford , Mustang Mach-E Premium,"$66,275"
Chino Hills Ford,2023 , Ford , Mustang Mach-E Premium,"$66,275"
Chino Hills Ford,2023 , Ford , Mustang Mach-E Premium,"$66,275"
Chino Hills Ford,2023 , Ford , Mustang Mach-E Premium,"$66,275"
Villa Ford of Orange,2022 , Ford , Mustang Mach-E GT,Not Priced
Villa Ford of Orange,2022 , Ford , Mustang Mach-E GT,Not Priced
Anderson Ford,2022 , Ford , Mustang Mach-E Select,"$52,525"
Larry H,2023 , Ford , Mustang Mach-E Premium,"$62,510"
Larry H,2023 , Ford , Mustang Mach-E GT,"$73,695"
Larry H,2023 , Ford , Mustang Mach-E California Route ,"$67,615"
Larry H,2023 , Ford , Mustang Mach-E California Route ,"$67,870"
Larry H,2023 , Ford , Mustang Mach-E GT,"$81,230"
Larry H,2023 , Ford , Mustang Mach-E GT,"$73,695"
Larry H,2023 , Ford , Mustang Mach-E Premium,"$60,175"
Larry H,2023 , Ford , Mustang Mach-E GT,"$74,005"
Larry H,2023 , Ford , Mustang Mach-E GT,"$74,190"
Larry H,2023 , Ford , Mustang Mach-E GT,"$74,025"
Larry H,2023 , Ford , Mustang Mach-E GT,"$73,935"
Larry H,2023 , Ford , Mustang Mach-E GT,"$74,820"
Larry H,2023 , Ford , Mustang Mach-E Premium,"$71,460"
Larry H,2023 , Ford , Mustang Mach-E GT,"$74,025"
Larry H,2023 , Ford , Mustang Mach-E Premium,"$62,510"
Newberg Ford,2022 , Ford , Mustang Mach-E GT,"$66,410"
Courtesy Ford,2023 , Ford , Mustang Mach-E California Route ,"$75,115"
Courtesy Ford,2023 , Ford , Mustang Mach-E Premium,"$59,215"
Courtesy Ford,2023 , Ford , Mustang Mach-E Premium,"$69,110"
Westlie Ford,2022 , Ford , Mustang Mach-E GT,"$66,410"
Westlie Ford,2022 , Ford , Mustang Mach-E California Route ,"$56,745"
Encinitas Ford,2022 , Ford , Mustang Mach-E Premium,"$67,637"
Encinitas Ford,2021 , Ford , Mustang Mach-E Premium,"$63,500"
Encinitas Ford,2022 , Ford , Mustang Mach-E Select,"$53,094"
Encinitas Ford,2022 , Ford , Mustang Mach-E Premium,"$70,339"
Encinitas Ford,2022 , Ford , Mustang Mach-E GT,"$76,095"
Encinitas Ford,2022 , Ford , Mustang Mach-E GT,"$77,009"
Encinitas Ford,2022 , Ford , Mustang Mach-E GT,"$83,271"
Encinitas Ford,2022 , Ford , Mustang Mach-E California Route ,"$66,658"
Encinitas Ford,2022 , Ford , Mustang Mach-E Premium,"$69,702"
Encinitas Ford,2022 , Ford , Mustang Mach-E Premium,"$64,256"
Corwin Ford of Tri,2022 , Ford , Mustang Mach-E Premium,"$64,610"
Aaron Ford of Poway,2022 , Ford , Mustang Mach-E Select,"$58,365"
Aaron Ford of Poway,2022 , Ford , Mustang Mach-E GT,"$76,965"
Aaron Ford of Poway,2022 , Ford , Mustang Mach-E GT,"$79,095"
Kearny Mesa Ford,2022 , Ford , Mustang Mach-E GT,"$67,205"
Kearny Mesa Ford,2022 , Ford , Mustang Mach-E California Route ,"$56,250"
